Year;Ticker;Price;PriceFiscal;PDRNG;PDRO;PDRTotal;PNG;PO;TPRNG;TPRO;TPRTotal
2011;DNR;-0,234469894;-0,234469894;0,130883477;0,090686504;0,090689972;-0,971617428;0,013579082;0,557850335;0,056152369;0,056267653
2012;DNR;0,070316498;0,070316498;-0,674180769;-0,019471361;-0,019513649;-0,012035411;0,098425976;-0,260885371;-0,08673804;-0,086784745
2013;DNR;0,01409769;0,01409769;0,11612168;0,166922199;0,166919934;-0,206528085;-0,011016225;0,017112486;0,167980629;0,167946246
2014;DNR;-0,703548008;-0,703548008;0;0;0;-0,033678748;0,06314516;-0,079740344;-0,064973969;-0,064977064
2015;DNR;-1,392463412;-1,392463412;-0,64168884;-0,214379354;-0,214394471;-0,034756269;-0,0206128;-2,468990729;-0,249775995;-0,249961451
1991;SM;;;;;;;;;;
1992;SM;;;;;;;;;;
1993;SM;0,063178902;0,063178902;;;;;;;;
1994;SM;0,078471615;0,078471615;;;;;;;;
1995;SM;0,055059777;0,055059777;;;;;;;;
1996;SM;0,574805953;0,574805953;;;;;;;;
1997;SM;0,341484778;0,341484778;;;;;;;;
1998;SM;-0,637577329;-0,637577329;;;;;;;;
1999;SM;0,291054757;0,291054757;;;;;;;;
2000;SM;0,297107213;0,297107213;0,127811881;0,130064821;0,13006102;0,51967041;0,550380004;0,084608931;0,102976724;0,102943459
2001;SM;-0,45240333;-0,45240333;0,06616179;0,084363974;0,084333581;0,029422578;0,014900938;0,065330607;0,122027529;0,121928611
2002;SM;0,165346453;0,165346453;0,107491614;0,484811959;0,484291767;-0,034180135;0,145426267;0,128000666;0,422652868;0,42222
2003;SM;0,131028262;0,131028262;0,142875173;0,263257255;0,263128498;0,263367526;0,478184991;0,113170274;0,279934593;0,279740494
2004;SM;0,381555814;0,381555814;0,030406772;0,093846424;0,093784551;-0,063702567;0,055260311;0,038879414;0,16879588;0,168665553
2005;SM;-0,125690354;-0,125690354;0,139716434;0,153799369;0,153786158;0,105851832;0,21111062;0,267460728;0,106044342;0,106208898
2006;SM;0,000814664;0,000814664;0,13526203;0,094512371;0,094551114;0,085910406;0,021696445;0,145663044;0,165102905;0,165081653
2007;SM;0,046927099;0,046927099;0,174045593;0,10422689;0,104297049;0,157258697;0,131320762;0,240169655;0,060812503;0,06102516
2008;SM;-0,642397935;-0,642397935;0,015312504;-0,371172579;-0,370681874;0,125708835;-0,043195593;-0,095876646;-0,428591197;-0,428080115
2009;SM;0,522281176;0,522281176;-0,236411862;0,018800629;0,01845585;-0,052115672;-0,044355567;-0,215086262;0,046355398;0,045939982
2010;SM;0,542955748;0,542955748;0,183782477;-0,042559614;-0,042258387;0,011104543;0,01131376;0,353332322;0,064770836;0,065235881
2011;SM;0,215478068;0,215478068;0,093317486;0,089363681;0,089369571;0,332979157;0,233093882;0,036813973;0,222446444;0,222132143
2012;SM;-0,336554319;-0,336554319;0,068519946;0,156136778;0,156011542;0,179236321;0,252413934;0,22723157;0,251469383;0,251432479
2013;SM;0,464890984;0,464890984;0,16380122;0,177206456;0,177188243;0,218465962;0,290083034;0,355606459;0,317072379;0,317131473
2014;SM;-0,767431024;-0,767431024;0,320942168;0,240653177;0,240765993;0,023826408;0,183519879;0,209513711;0,292999663;0,292874445
2015;SM;-0,674147893;-0,674147893;-0,196854382;-0,166545205;-0,166588859;0,126969689;0,13950156;-0,148597314;-0,155231602;-0,155222028
1991;EGY;;;;;;;;;;
1992;EGY;;;;;;;;;;
1993;EGY;;;;;;;;;;
1994;EGY;-2,128231706;-2,128231706;;;;;;;;
